Time,Emotion,Attention
23:26:29,Fear,True
23:26:29,No Face,False
23:26:29,No Face,False
23:26:29,No Face,False
23:26:30,No Face,False
23:26:30,No Face,False
23:26:30,No Face,False
23:26:30,No Face,False
23:26:30,No Face,False
23:26:30,No Face,False
23:26:30,No Face,False
23:26:30,No Face,False
23:26:31,Fear,True
23:26:31,No Face,False
23:26:31,No Face,False
23:26:31,Fear,True
23:26:31,Fear,True
23:26:32,Fear,True
23:26:32,No Face,False
23:26:32,Fear,True
23:26:32,Fear,True
23:26:33,No Face,False
23:26:33,Fear,True
23:26:33,No Face,False
23:26:33,No Face,False
23:26:33,No Face,False
23:26:33,No Face,False
23:26:34,Fear,True
23:26:34,No Face,False
23:26:34,No Face,False
23:26:34,No Face,False
23:26:34,Fear,True
23:26:34,No Face,False
23:26:34,No Face,False
23:26:35,No Face,False
23:26:35,No Face,False
23:26:35,No Face,False
23:26:35,Fear,True
23:26:35,No Face,False
23:26:35,No Face,False
23:26:36,No Face,False
23:26:36,No Face,False
23:26:36,No Face,False
23:26:36,No Face,False
23:26:36,No Face,False
23:26:36,No Face,False
23:26:36,No Face,False
23:26:36,No Face,False
23:26:37,No Face,False
23:26:37,No Face,False
23:26:37,No Face,False
23:26:37,No Face,False
23:26:37,No Face,False
23:26:37,No Face,False
23:26:37,No Face,False
23:26:38,No Face,False
23:26:38,No Face,False
23:26:38,No Face,False
23:26:38,No Face,False
23:26:38,No Face,False
23:26:38,No Face,False
23:26:39,No Face,False
23:26:39,No Face,False
23:26:39,No Face,False
23:26:39,No Face,False
23:26:39,No Face,False
23:26:39,No Face,False
23:26:40,No Face,False
23:26:40,No Face,False
23:26:40,No Face,False
23:26:40,No Face,False
23:26:40,No Face,False
23:26:40,No Face,False
23:26:41,No Face,False
23:26:41,No Face,False
23:26:41,No Face,False
23:26:41,No Face,False
23:26:41,No Face,False
23:26:41,No Face,False
23:26:41,No Face,False
23:26:42,No Face,False
23:26:42,No Face,False
23:26:42,No Face,False
23:26:42,No Face,False
23:26:42,No Face,False
23:26:42,No Face,False
23:26:42,No Face,False
23:26:43,No Face,False
23:26:43,No Face,False
23:26:43,No Face,False
23:26:43,No Face,False
23:26:43,No Face,False
23:26:43,No Face,False
23:26:43,No Face,False
23:26:44,No Face,False
23:26:44,No Face,False
23:26:44,No Face,False
23:26:44,No Face,False
23:26:44,No Face,False
23:26:44,No Face,False
23:26:44,No Face,False
23:26:45,No Face,False
23:26:45,No Face,False
23:26:45,No Face,False
23:26:45,No Face,False
23:26:45,No Face,False
23:26:45,No Face,False
23:26:45,No Face,False
23:26:45,No Face,False
23:26:46,No Face,False
23:26:46,No Face,False
23:26:46,No Face,False
23:26:46,No Face,False
23:26:46,No Face,False
23:26:46,No Face,False
23:26:46,No Face,False
23:26:47,No Face,False
23:26:47,No Face,False
23:26:47,No Face,False
23:26:47,No Face,False
23:26:47,No Face,False
23:26:47,No Face,False
23:26:47,No Face,False
23:26:47,No Face,False
23:26:48,No Face,False
23:26:48,No Face,False
23:26:48,No Face,False
23:26:48,No Face,False
23:26:48,No Face,False
23:26:48,No Face,False
23:26:48,No Face,False
23:26:48,No Face,False
23:26:49,No Face,False
23:26:49,No Face,False
23:26:49,No Face,False
23:26:49,No Face,False
23:26:49,No Face,False
23:26:49,No Face,False
23:26:49,No Face,False
23:26:49,No Face,False
23:26:50,No Face,False
23:26:50,No Face,False
23:26:50,No Face,False
23:26:50,No Face,False
23:26:50,No Face,False
23:26:50,No Face,False
23:26:51,No Face,False
23:26:51,No Face,False
23:26:51,No Face,False
23:26:51,No Face,False
23:26:51,No Face,False
23:26:51,No Face,False
23:26:52,No Face,False
23:26:52,No Face,False
23:26:52,No Face,False
23:26:52,No Face,False
23:26:52,No Face,False
23:26:52,No Face,False
23:26:52,No Face,False
23:26:53,No Face,False
23:26:53,No Face,False
23:26:53,No Face,False
23:26:53,No Face,False
23:26:53,No Face,False
23:26:53,No Face,False
23:26:53,No Face,False
23:26:54,No Face,False
23:26:54,No Face,False
23:26:54,No Face,False
23:26:54,No Face,False
23:26:54,No Face,False
23:26:54,No Face,False
23:26:54,No Face,False
23:26:55,No Face,False
23:26:55,No Face,False
23:26:55,No Face,False
23:26:55,No Face,False
23:26:55,No Face,False
23:26:55,No Face,False
23:26:55,No Face,False
23:26:55,No Face,False
23:26:56,No Face,False
23:26:56,No Face,False
23:26:56,No Face,False
23:26:56,No Face,False
23:26:56,No Face,False
23:26:56,No Face,False
23:26:56,No Face,False
23:26:57,No Face,False
23:26:57,No Face,False
23:26:57,No Face,False
23:26:57,No Face,False
23:26:57,No Face,False
23:26:57,No Face,False
23:26:57,No Face,False
23:26:57,No Face,False
23:26:58,No Face,False
23:26:58,No Face,False
23:26:58,No Face,False
23:26:58,No Face,False
23:26:58,No Face,False
23:26:58,No Face,False
23:26:58,No Face,False
23:26:59,No Face,False
23:26:59,No Face,False
23:26:59,No Face,False
23:26:59,No Face,False
23:26:59,No Face,False
23:26:59,No Face,False
23:26:59,No Face,False
23:27:00,No Face,False
23:27:00,No Face,False
23:27:00,No Face,False
23:27:00,No Face,False
23:27:00,No Face,False
23:27:00,No Face,False
23:27:00,No Face,False
23:27:00,No Face,False
23:27:01,No Face,False
23:27:01,No Face,False
23:27:01,No Face,False
23:27:01,No Face,False
